PC7_10399	a4b7 Integrin signaling
PC7_4211	Glucose transport
PC7_4214	Glucuronidation
PC7_4215	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity
PC7_4216	Glutamate Neurotransmitter Release Cycle
PC7_4219	Glutathione conjugation
PC7_4258	Glutathione synthesis and recycling
PC7_4262	Glycerophospholipid biosynthesis
PC7_4265	Glycogen breakdown (glycogenolysis)
PC7_4267	Glycogen synthesis
PC7_4269	Glycolysis
PC7_4271	Glycoprotein hormones
PC7_4276	Glycosphingolipid metabolism
PC7_4283	Glyoxylate metabolism
PC7_4284	Glypican 1 network
PC7_4285	Glypican 2 network
PC7_4286	Glypican 3 network
PC7_4287	Glypican pathway
PC7_4300	Golgi Associated Vesicle Biogenesis
PC7_4301	Golgi Cisternae Pericentriolar Stack Reorganization
PC7_4306	Growth hormone receptor signaling
PC7_4308	HATs acetylate histones
PC7_4318	HCN channels
PC7_4334	HDACs deacetylate histones
PC7_4335	HDL-mediated lipid transport
PC7_4336	HDMs demethylate histones
PC7_4340	HIF-1-alpha transcription factor network
PC7_4341	HIF-2-alpha transcription factor network
PC7_4365	HIV Infection
PC7_4366	HIV Life Cycle
PC7_4368	HIV Transcription Initiation
PC7_4370	HIV-1 Nef: Negative effector of Fas and TNF-alpha
PC7_4414	HS-GAG biosynthesis
PC7_4415	HS-GAG degradation
PC7_4416	HSF1 activation
PC7_4417	HSF1-dependent transactivation
PC7_4438	Hedgehog 'off' state
PC7_4439	Hedgehog ligand biogenesis
PC7_4440	Hedgehog signaling events mediated by Gli proteins
PC7_4443	Heme biosynthesis
PC7_4444	Heme degradation
PC7_4449	Hemostasis
PC7_4451	Heparan sulfate/heparin (HS-GAG) metabolism
PC7_4466	Hexose uptake
PC7_4467	Hh ligand biogenesis disease
PC7_4468	Highly calcium permeable nicotinic acetylcholine receptors
PC7_4469	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors
PC7_4470	Highly sodium permeable acetylcholine nicotinic receptors
PC7_4480	Histamine receptors
PC7_4482	Histidine catabolism
PC7_4487	Homologous DNA pairing and strand exchange
PC7_4488	Homologous Recombination Repair
PC7_4490	Hormone ligand-binding receptors
PC7_4491	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
PC7_4492	Host Interactions of HIV factors
PC7_4493	Host Interactions with Influenza Factors
PC7_4494	HuR stabilizes mRNA
PC7_4496	Hyaluronan biosynthesis and export
PC7_4497	Hyaluronan metabolism
PC7_4498	Hyaluronan uptake and degradation
PC7_4530	Hydrolysis of LPC
PC7_4531	Hydrolysis of LPE
PC7_4532	Hydroxycarboxylic acid-binding receptors
PC7_4540	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha
PC7_4541	Hypusinylation
PC7_4556	IFN-gamma pathway
PC7_4574	IGF1 pathway
PC7_4583	IGF1R signaling cascade
PC7_4587	IKK complex recruitment mediated by RIP1
PC7_4588	IL1-mediated signaling events
PC7_4593	IL12 signaling mediated by STAT4
PC7_4594	IL12-mediated signaling events
PC7_4611	IL2 signaling events mediated by PI3K
PC7_4612	IL2 signaling events mediated by STAT5
PC7_4613	IL2-mediated signaling events
PC7_4614	IL23-mediated signaling events
PC7_4618	IL27-mediated signaling events
PC7_4619	IL3-mediated signaling events
PC7_4627	IL4-mediated signaling events
PC7_4628	IL5-mediated signaling events
PC7_4637	IL6-mediated signaling events
PC7_4638	IL8- and CXCR1-mediated signaling events
PC7_4639	IL8- and CXCR2-mediated signaling events
PC7_4653	IRAK1 recruits IKK complex
PC7_4655	IRAK2 mediated activation of TAK1 complex
PC7_4657	IRE1alpha activates chaperones
PC7_4658	IRF3 mediated activation of type 1 IFN
PC7_4660	IRF3-mediated induction of type I IFN
PC7_4661	IRS activation
PC7_4662	IRS-mediated signalling
PC7_4663	IRS-related events
PC7_4664	IRS-related events triggered by IGF1R
PC7_4688	Immune System
PC7_4689	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
PC7_4690	Import of palmitoyl-CoA into the mitochondrial matrix
PC7_4691	Inactivation of APC/C via direct inhibition of the APC/C complex
PC7_4692	Inactivation of Cdc42 and Rac
PC7_4693	Inactivation, recovery and regulation of the phototransduction cascade
PC7_4694	Incretin synthesis, secretion, and inactivation
PC7_4725	Inflammasomes
PC7_4727	Influenza Infection
PC7_4728	Influenza Life Cycle
PC7_4729	Influenza Viral RNA Transcription and Replication
PC7_4730	Influenza Virus Induced Apoptosis
PC7_4731	Inhibition of HSL
PC7_4732	Inhibition of Host mRNA Processing and RNA Silencing
PC7_4734	Inhibition of TSC complex formation by PKB
PC7_4736	Inhibition of replication initiation of damaged DNA by RB1/E2F1
PC7_4739	Initial triggering of complement
PC7_4740	Initiation of Nuclear Envelope Reformation
PC7_4741	Innate Immune System
PC7_4742	Inositol phosphate metabolism
PC7_4744	Inositol transporters
PC7_4745	Insulin Pathway
PC7_4746	Insulin effects increased synthesis of Xylulose-5-Phosphate
PC7_4747	Insulin processing
PC7_4748	Insulin receptor recycling
PC7_4749	Insulin receptor signalling cascade
PC7_4750	Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA
PC7_4751	Insulin-mediated glucose transport
PC7_4754	Integration of energy metabolism
PC7_4755	Integration of provirus
PC7_4757	Integrin alphaIIb beta3 signaling
PC7_4758	Integrin cell surface interactions
PC7_4759	Integrin family cell surface interactions
PC7_4761	Integrin-linked kinase signaling
PC7_4762	Integrins in angiogenesis
PC7_4764	Interaction With The Zona Pellucida
PC7_4765	Interaction between L1 and Ankyrins
PC7_4766	Interactions of Rev with host cellular proteins
PC7_4767	Interactions of Tat with host cellular proteins
PC7_4768	Interactions of Vpr with host cellular proteins
PC7_4769	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
PC7_4770	Interconversion of polyamines
PC7_4771	Interferon Signaling
PC7_4772	Interferon alpha/beta signaling
PC7_4773	Interferon gamma signaling
PC7_4775	Interleukin receptor SHC signaling
PC7_4777	Interleukin-1 processing
PC7_4778	Interleukin-1 signaling
PC7_4779	Interleukin-2 signaling
PC7_4780	Interleukin-3, 5 and GM-CSF signaling
PC7_4781	Interleukin-6 signaling
PC7_4782	Interleukin-7 signaling
PC7_4783	Internalization of ErbB1
PC7_4784	Intrinsic Pathway
PC7_4785	Intrinsic Pathway for Apoptosis
PC7_4786	Inwardly rectifying K+ channels
PC7_4791	Ion channel transport
PC7_4792	Ion transport by P-type ATPases
PC7_4806	Iron uptake and transport
PC7_4819	JNK (c-Jun kinases) phosphorylation and activation mediated by activated human TAK1
PC7_4820	JNK signaling in the CD4+ TCR pathway
PC7_4862	KSRP destabilizes mRNA
PC7_4874	Keratan sulfate biosynthesis
PC7_4875	Keratan sulfate degradation
PC7_4876	Keratan sulfate/keratin metabolism
PC7_4884	Ketone body catabolism
PC7_4887	Kinesins
PC7_4888	Klotho-mediated ligand binding
PC7_4917	L1CAM interactions
PC7_4921	LDL endocytosis
PC7_4938	LKB1 signaling events
PC7_4940	LPA receptor mediated events
PC7_4941	LPA4-mediated signaling events
PC7_4945	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production
PC7_4946	Lagging Strand Synthesis
PC7_4947	Laminin interactions
PC7_4948	Late Phase of HIV Life Cycle
PC7_4949	Latent infection of Homo sapiens with Mycobacterium tuberculosis
PC7_4951	Leading Strand Synthesis
PC7_4952	Lectin pathway of complement activation
PC7_4961	Leukotriene receptors
PC7_4965	Ligand-gated ion channel transport
PC7_4968	Linoleic acid (LA) metabolism
PC7_4970	Lipid and lipoprotein metabolism
PC7_4992	Lipoprotein metabolism
PC7_4994	Lissencephaly gene (LIS1) in neuronal migration and development
PC7_5016	Localization of the PINCH-ILK-PARVIN complex to focal adhesions
PC7_5024	Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling
PC7_5025	Loss of Function of SMAD2/3 in Cancer
PC7_5029	Loss of Nlp from mitotic centrosomes
PC7_5045	Lysine catabolism
PC7_5047	Lysosome Vesicle Biogenesis
PC7_5048	Lysosphingolipid and LPA receptors
PC7_5049	M Phase
PC7_5051	MAP kinase activation in TLR cascade
PC7_5078	MAPK targets/ Nuclear events mediated by MAP kinases
PC7_5124	MASTL Facilitates Mitotic Progression
PC7_5139	MEK activation
PC7_5157	MHC class II antigen presentation
PC7_5188	MMR
PC7_5271	Meiosis
PC7_5272	Meiotic recombination
PC7_5273	Meiotic synapsis
PC7_5307	Membrane Trafficking
PC7_5308	Membrane binding and targetting of GAG proteins
PC7_5322	Metabolism
PC7_5323	Metabolism of Angiotensinogen to Angiotensins
PC7_5324	Metabolism of RNA
PC7_5325	Metabolism of folate and pterines
PC7_5326	Metabolism of lipids and lipoproteins
PC7_5327	Metabolism of mRNA
PC7_5328	Metabolism of nitric oxide
PC7_5329	Metabolism of polyamines
PC7_5330	Metabolism of proteins
PC7_5332	Metabolism of steroid hormones and vitamin D
PC7_5339	Metal ion SLC transporters
PC7_5360	Methionine salvage pathway
PC7_5373	Methylation
PC7_5444	MicroRNA (miRNA) biogenesis
PC7_5504	Mineralocorticoid biosynthesis
PC7_5508	Miscellaneous substrates
PC7_5509	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
PC7_5510	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
PC7_5512	Mitochondrial ABC transporters
PC7_5513	Mitochondrial Fatty Acid Beta-Oxidation
PC7_5514	Mitochondrial Uncoupling Proteins
PC7_5515	Mitochondrial biogenesis
PC7_5516	Mitochondrial iron-sulfur cluster biogenesis
PC7_5517	Mitochondrial protein import
PC7_5518	Mitochondrial tRNA aminoacylation
PC7_5519	Mitochondrial transcription initiation
PC7_5521	Mitochondrial translation
PC7_5522	Mitochondrial translation elongation
PC7_5523	Mitochondrial translation initiation
PC7_5524	Mitochondrial translation termination
PC7_5527	Mitotic Anaphase
PC7_5528	Mitotic G1-G1/S phases
PC7_5529	Mitotic G2-G2/M phases
PC7_5530	Mitotic M-M/G1 phases
PC7_5531	Mitotic Metaphase and Anaphase
PC7_5532	Mitotic Metaphase/Anaphase Transition
PC7_5533	Mitotic Prometaphase
PC7_5534	Mitotic Prophase
PC7_5535	Mitotic Spindle Checkpoint
PC7_5537	Molecules associated with elastic fibres
PC7_5538	Molybdenum cofactor biosynthesis
PC7_5546	Multifunctional anion exchangers
PC7_5550	Muscarinic acetylcholine receptors
PC7_5551	Muscle contraction
PC7_5558	MyD88 cascade initiated on plasma membrane
PC7_5559	MyD88 dependent cascade initiated on endosome
PC7_5560	MyD88-independent cascade
PC7_5561	MyD88:Mal cascade initiated on plasma membrane
PC7_5665	N-Glycan antennae elongation
PC7_5673	N-cadherin signaling events
PC7_5678	N-glycan antennae elongation in the medial/trans-Golgi
PC7_5679	N-glycan trimming and elongation in the cis-Golgi
PC7_5680	N-glycan trimming in the ER and Calnexin/Calreticulin cycle
PC7_5689	NADE modulates death signalling
PC7_5697	NCAM signaling for neurite out-growth
PC7_5698	NCAM1 interactions
PC7_5707	NEP/NS2 Interacts with the Cellular Export Machinery
PC7_5708	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10
PC7_5709	NF-kB is activated and signals survival
PC7_5749	NFG and proNGF binds to p75NTR
PC7_5769	NGF processing
PC7_5772	NGF signalling via TRKA from the plasma membrane
PC7_5773	NGF-independant TRKA activation
PC7_5776	NICD traffics to nucleus
PC7_5779	NOD1/2 Signaling Pathway
PC7_5781	NOSIP mediated eNOS trafficking
PC7_5782	NOSTRIN mediated eNOS trafficking
PC7_5783	NOTCH1 Intracellular Domain Regulates Transcription
PC7_5788	NOTCH2 Activation and Transmission of Signal to the Nucleus
PC7_5789	NOTCH2 intracellular domain regulates transcription
PC7_5825	NRAGE signals death through JNK
PC7_5835	NRIF signals cell death from the nucleus
PC7_5837	NS1 Mediated Effects on Host Pathways
PC7_5847	Na+-dependent glucose transporters
PC7_5848	Na+/Cl- dependent neurotransmitter transporters
PC7_5867	Nectin adhesion pathway
PC7_5868	Nectin/Necl trans heterodimerization
PC7_5869	Nef Mediated CD4 Down-regulation
PC7_5870	Nef Mediated CD8 Down-regulation
PC7_5871	Nef and signal transduction
PC7_5872	Nef mediated downregulation of CD28 cell surface expression
PC7_5873	Nef mediated downregulation of MHC class I complex cell surface expression
PC7_5874	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
PC7_5875	Negative epigenetic regulation of rRNA expression
PC7_5876	Negative regulation of FGFR signaling
PC7_5877	Negative regulation of the PI3K/AKT network
PC7_5878	Negative regulators of RIG-I/MDA5 signaling
PC7_5881	Nephrin interactions
PC7_5882	Nephrin/Neph1 signaling in the kidney podocyte
PC7_5883	Netrin mediated repulsion signals
PC7_5884	Netrin-1 signaling
PC7_5885	Netrin-mediated signaling events
PC7_5886	Neurofascin interactions
PC7_5887	Neuronal System
PC7_5888	Neurophilin interactions with VEGF and VEGFR
PC7_5889	Neurotransmitter Clearance In The Synaptic Cleft
PC7_5890	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
PC7_5891	Neurotransmitter Release Cycle
PC7_5893	Neurotrophic factor-mediated Trk receptor signaling
PC7_5907	Nicotinamide salvaging
PC7_5909	Nicotinate metabolism
PC7_5948	Nitric oxide stimulates guanylate cyclase
PC7_5966	NoRC negatively regulates rRNA expression
PC7_5967	Non-coding RNA Metabolism
PC7_5968	Non-integrin membrane-ECM interactions
PC7_5969	Noncanonical Wnt signaling pathway
PC7_5970	Nongenotropic Androgen signaling
PC7_5971	Nonhomologous End-joining (NHEJ)
PC7_5972	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
PC7_5973	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
PC7_5975	Norepinephrine Neurotransmitter Release Cycle
PC7_5981	Notch signaling pathway
PC7_5983	Notch-mediated HES/HEY network
PC7_5984	NrCAM interactions
PC7_5985	Nuclear Envelope Breakdown
PC7_5987	Nuclear Events (kinase and transcription factor activation)
PC7_5988	Nuclear Pore Complex (NPC) Disassembly
PC7_5989	Nuclear Receptor transcription pathway
PC7_5990	Nuclear import of Rev protein
PC7_5991	Nuclear signaling by ERBB4
PC7_5993	Nucleotide Excision Repair
PC7_5994	Nucleotide metabolism
PC7_5995	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
PC7_5996	Nucleotide-like (purinergic) receptors
PC7_5999	O-glycosylation of TSR domain-containing proteins
PC7_6000	O-linked glycosylation
PC7_6001	O-linked glycosylation of mucins
PC7_6044	Olfactory Signaling Pathway
PC7_6045	Oligomerization of connexins into connexons
PC7_6047	Oncogene Induced Senescence
PC7_6050	Opioid Signalling
PC7_6053	Opsins
PC7_6054	Orc1 removal from chromatin
PC7_6055	Orexin and neuropeptides FF and QRFP bind to their respective receptors
PC7_6057	Organelle biogenesis and maintenance
PC7_6058	Organic anion transport
PC7_6059	Organic anion transporters
PC7_6060	Organic cation transport
PC7_6061	Organic cation/anion/zwitterion transport
PC7_6065	Orphan transporters
PC7_6066	Osteopontin-mediated events
PC7_6067	Other semaphorin interactions
PC7_6072	Oxidative Stress Induced Senescence
PC7_6073	Oxidative demethylation of DNA
PC7_6085	Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha
PC7_6086	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
PC7_6094	P2Y receptors
PC7_6097	PAOs oxidise polyamines to amines
PC7_6098	PAR1-mediated thrombin signaling events
PC7_6099	PAR4-mediated thrombin signaling events
PC7_610	2-LTR circle formation
PC7_6108	PCP/CE pathway
PC7_6128	PD-1 signaling
PC7_6135	PDGF receptor signaling network
PC7_6140	PDGFR-alpha signaling pathway
PC7_6141	PDGFR-beta signaling pathway
PC7_6142	PECAM1 interactions
PC7_6143	PERK regulates gene expression
PC7_6147	PI Metabolism
PC7_6149	PI-3K cascade
PC7_6153	PI3K Cascade
PC7_6157	PI3K/AKT activation
PC7_6171	PKA activation
PC7_6172	PKA activation in glucagon signalling
PC7_6173	PKA-mediated phosphorylation of CREB
PC7_6174	PKA-mediated phosphorylation of key metabolic factors
PC7_6175	PKB-mediated events
PC7_6177	PLC beta mediated events
PC7_6178	PLC-gamma1 signalling
PC7_6180	PLCG1 events in ERBB2 signaling
PC7_6189	PLK1 signaling events
PC7_6190	PLK2 and PLK4 events
PC7_6191	PLK3 signaling events
PC7_6200	POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation
PC7_6201	POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation
PC7_6202	PP2A-mediated dephosphorylation of key metabolic factors
PC7_6203	PPARA activates gene expression
PC7_6233	PRC2 methylates histones and DNA
PC7_6269	PRPP biosynthesis
PC7_6310	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
PC7_6315	Packaging Of Telomere Ends
PC7_6373	Passive transport by Aquaporins
PC7_6375	Pausing and recovery of Tat-mediated HIV elongation
PC7_6393	Peptide chain elongation
PC7_6394	Peptide hormone biosynthesis
PC7_6395	Peptide hormone metabolism
PC7_6396	Peptide ligand-binding receptors
PC7_6403	Peroxisomal lipid metabolism
PC7_6432	Phase 1 - Functionalization of compounds
PC7_6433	Phase II conjugation
PC7_6443	Phenylalanine and tyrosine catabolism
PC7_6455	Phosphate bond hydrolysis by NUDT proteins
PC7_6461	Phospholipase C-mediated cascade
PC7_6462	Phospholipid metabolism
PC7_6463	Phosphorylation of CD3 and TCR zeta chains
PC7_6464	Phosphorylation of Emi1
PC7_6465	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
PC7_6466	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
PC7_6467	Phosphorylation of the APC/C
PC7_6507	Plasma membrane estrogen receptor signaling
PC7_6508	Plasmalogen biosynthesis
PC7_6510	Platelet Adhesion to exposed collagen
PC7_6511	Platelet Aggregation (Plug Formation)
PC7_6512	Platelet activation, signaling and aggregation
PC7_6513	Platelet calcium homeostasis
PC7_6514	Platelet degranulation
PC7_6515	Platelet homeostasis
PC7_6516	Platelet sensitization by LDL
PC7_6517	Plexin-D1 Signaling
PC7_6519	Polo-like kinase mediated events
PC7_6520	Polo-like kinase signaling events in the cell cycle
PC7_6532	Porphyrin metabolism
PC7_6533	Post NMDA receptor activation events
PC7_6534	Post-Elongation Processing of Intron-Containing pre-mRNA
PC7_6535	Post-Elongation Processing of Intronless pre-mRNA
PC7_6537	Post-chaperonin tubulin folding pathway
PC7_6538	Post-transcriptional silencing by small RNAs
PC7_6539	Post-translational modification: synthesis of GPI-anchored proteins
PC7_6540	Post-translational protein modification
PC7_6542	Posttranslational regulation of adherens junction stability and dissassembly
PC7_6543	Potassium Channels
PC7_6555	Potassium transport channels
PC7_6561	Pre-NOTCH Expression and Processing
PC7_6562	Pre-NOTCH Processing in Golgi
PC7_6563	Pre-NOTCH Processing in the Endoplasmic Reticulum
PC7_6564	Pre-NOTCH Transcription and Translation
PC7_6566	Prefoldin mediated transfer of substrate to CCT/TriC
PC7_6567	Pregnenolone biosynthesis
PC7_6569	Presenilin action in Notch and Wnt signaling
PC7_6570	Presynaptic function of Kainate receptors
PC7_6571	Presynaptic nicotinic acetylcholine receptors
PC7_6572	Presynaptic phase of homologous DNA pairing and strand exchange
PC7_6588	Processing and activation of SUMO
PC7_6589	Processing of Capped Intron-Containing Pre-mRNA
PC7_6591	Processing of DNA double-strand break ends
PC7_6592	Processing of DNA ends prior to end rejoining
PC7_6593	Processing of Intronless Pre-mRNAs
PC7_6595	Processive synthesis on the C-strand of the telomere
PC7_6596	Processive synthesis on the lagging strand
PC7_6615	Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2
PC7_6616	Prolactin receptor signaling
PC7_6617	Proline catabolism
PC7_6618	Prolonged ERK activation events
PC7_6620	Propionyl-CoA catabolism
PC7_6638	Prostacyclin signalling through prostacyclin receptor
PC7_6640	Prostanoid ligand receptors
PC7_6642	Protein folding
PC7_6643	Proteoglycan syndecan-mediated signaling events
PC7_6644	Proton-coupled monocarboxylate transport
PC7_6645	Proton-coupled neutral amino acid transporters
PC7_6646	Proton/oligonucleotide cotransporters
PC7_6649	Purine catabolism
PC7_6652	Purine metabolism
PC7_6653	Purine ribonucleoside monophosphate biosynthesis
PC7_6654	Purine salvage
PC7_6660	Pyrimidine biosynthesis
PC7_6661	Pyrimidine catabolism
PC7_6663	Pyrimidine metabolism
PC7_6664	Pyrimidine salvage reactions
PC7_6666	Pyrophosphate hydrolysis
PC7_6669	Pyruvate metabolism
PC7_6670	Pyruvate metabolism and Citric Acid (TCA) cycle
PC7_6740	RAC1 signaling pathway
PC7_6745	RAF activation
PC7_6747	RAF/MAP kinase cascade
PC7_6777	REV-ERBA represses gene expression
PC7_6786	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
PC7_6787	RIP-mediated NFkB activation via ZBP1
PC7_6788	RMTs methylate histone arginines
PC7_6789	RNA Pol II CTD phosphorylation and interaction with CE
PC7_6790	RNA Polymerase I Chain Elongation
PC7_6791	RNA Polymerase I Promoter Clearance
PC7_6792	RNA Polymerase I Promoter Escape
PC7_6793	RNA Polymerase I Promoter Opening
PC7_6794	RNA Polymerase I Transcription
PC7_6795	RNA Polymerase I Transcription Initiation
PC7_6796	RNA Polymerase I Transcription Termination
PC7_6797	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription
PC7_6799	RNA Polymerase II Pre-transcription Events
PC7_6801	RNA Polymerase II Transcription
PC7_6807	RNA Polymerase III Abortive And Retractive Initiation
PC7_6808	RNA Polymerase III Chain Elongation
PC7_6810	RNA Polymerase III Transcription Initiation
PC7_6811	RNA Polymerase III Transcription Initiation From Type 1 Promoter
PC7_6812	RNA Polymerase III Transcription Initiation From Type 2 Promoter
PC7_6813	RNA Polymerase III Transcription Initiation From Type 3 Promoter
PC7_6814	RNA Polymerase III Transcription Termination
PC7_6815	RNF mutants show enhanced WNT signaling and proliferation
PC7_6818	RORA activates circadian gene expression
PC7_6826	RSK activation
PC7_6828	RXR and RAR heterodimerization with other nuclear receptor
PC7_6848	Rap1 signalling
PC7_6849	Rapid glucocorticoid signaling
PC7_685	3' -UTR-mediated translational regulation
PC7_6852	Ras activation uopn Ca2+ infux through NMDA receptor
PC7_6853	Ras signaling in the CD4+ TCR pathway
PC7_6855	Reactions specific to the complex N-glycan synthesis pathway
PC7_6860	Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor
PC7_6863	Recruitment of NuMA to mitotic centrosomes
PC7_6865	Recruitment of repair and signaling proteins to double-strand breaks
PC7_6866	Recycling of bile acids and salts
PC7_6867	Recycling of eIF2:GDP
PC7_6868	Recycling pathway of L1
PC7_6869	Reduction of cytosolic Ca++ levels
PC7_6870	Reelin signaling pathway
PC7_6871	Regulated proteolysis of p75NTR
PC7_6874	Regulation of AMPK activity via LKB1
PC7_6875	Regulation of APC/C activators between G1/S and early anaphase
PC7_6876	Regulation of Androgen receptor activity
PC7_6877	Regulation of Apoptosis
PC7_6878	Regulation of CDC42 activity
PC7_6879	Regulation of Commissural axon pathfinding by Slit and Robo
PC7_6880	Regulation of Complement cascade
PC7_6881	Regulation of DNA replication
PC7_6882	Regulation of Glucokinase by Glucokinase Regulatory Protein
PC7_6883	Regulation of HSF1-mediated heat shock response
PC7_6885	Regulation of IFNA signaling
PC7_6886	Regulation of IFNG signaling
PC7_6887	Regulation of IGF Activity by IGFBP
PC7_6888	Regulation of KIT signaling
PC7_6890	Regulation of PLK1 Activity at G2/M Transition
PC7_6891	Regulation of RAC1 activity
PC7_6892	Regulation of Ras family activation
PC7_6893	Regulation of Rheb GTPase activity by AMPK
PC7_6894	Regulation of RhoA activity
PC7_6895	Regulation of Telomerase
PC7_6896	Regulation of actin dynamics for phagocytic cup formation
PC7_6897	Regulation of activated PAK-2p34 by proteasome mediated degradation
PC7_6898	Regulation of beta-cell development
PC7_6899	Regulation of cholesterol biosynthesis by SREBP (SREBF)
PC7_6900	Regulation of cytoplasmic and nuclear SMAD2/3 signaling
PC7_6901	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
PC7_6902	Regulation of gap junction activity
PC7_6903	Regulation of gene expression by Hypoxia-inducible Factor
PC7_6904	Regulation of gene expression in beta cells
PC7_6905	Regulation of gene expression in early pancreatic precursor cells
PC7_6906	Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells
PC7_6907	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
PC7_6908	Regulation of innate immune responses to cytosolic DNA
PC7_6909	Regulation of insulin secretion
PC7_6910	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
PC7_6911	Regulation of mRNA stability by proteins that bind AU-rich elements
PC7_6913	Regulation of nuclear SMAD2/3 signaling
PC7_6914	Regulation of nuclear beta catenin signaling and target gene transcription
PC7_6915	Regulation of ornithine decarboxylase (ODC)
PC7_6916	Regulation of p38-alpha and p38-beta
PC7_6917	Regulation of pyruvate dehydrogenase (PDH) complex
PC7_6918	Regulation of retinoblastoma protein
PC7_6919	Regulation of signaling by CBL
PC7_6920	Regulation of signaling by NODAL
PC7_6921	Regulation of the Fanconi anemia pathway
PC7_6922	Regulation of thyroid hormone activity
PC7_6923	Regulatory RNA pathways
PC7_6924	Relaxin receptors
PC7_6925	Release of Hh-Np from the secreting cell
PC7_6926	Release of apoptotic factors from the mitochondria
PC7_6927	Release of eIF4E
PC7_6928	Removal of DNA patch containing abasic residue
PC7_6929	Removal of aminoterminal propeptides from gamma-carboxylated proteins
PC7_6930	Removal of licensing factors from origins
PC7_6931	Removal of the Flap Intermediate
PC7_6932	Removal of the Flap Intermediate from the C-strand
PC7_6933	Repair synthesis for gap-filling by DNA polymerase in TC-NER
PC7_6937	Resolution of AP sites via the single-nucleotide replacement pathway
PC7_6939	Resolution of D-loop structures
PC7_6941	Resolution of Sister Chromatid Cohesion
PC7_6942	Respiratory electron transport
PC7_6943	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.
PC7_6945	Response to elevated platelet cytosolic Ca2+
PC7_6946	Retinoic acid receptors-mediated signaling
PC7_6947	Retinoid cycle disease events
PC7_6948	Retinoid metabolism and transport
PC7_6950	Retrograde neurotrophin signalling
PC7_6951	Reuptake of GABA
PC7_6952	Rev-mediated nuclear export of HIV RNA
PC7_6953	Reversal of Alkylation Damage By DNA Dioxygenases
PC7_6955	Reversible hydration of carbon dioxide
PC7_6956	Rhesus glycoproteins mediate ammonium transport.
PC7_6957	Rho GTPase cycle
PC7_6958	RhoA signaling pathway
PC7_6966	Ribosomal scanning and start codon recognition
PC7_6991	Role of Abl in Robo-Slit signaling
PC7_6992	Role of Calcineurin-dependent NFAT signaling in lymphocytes
PC7_6993	Role of DCC in regulating apoptosis
PC7_6994	Role of LAT2/NTAL/LAB on calcium mobilization
PC7_6995	Role of phospholipids in phagocytosis
PC7_6996	Role of second messengers in netrin-1 signaling
PC7_7024	S Phase
PC7_7040	S1P1 pathway
PC7_7041	S1P2 pathway
PC7_7042	S1P3 pathway
PC7_7043	S1P4 pathway
PC7_7044	S1P5 pathway
PC7_7048	S6K1 signalling
PC7_7049	S6K1-mediated signalling
PC7_7230	SCF(Skp2)-mediated degradation of p27/p21
PC7_7231	SCF-beta-TrCP mediated degradation of Emi1
PC7_7249	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
PC7_7261	SHC activation
PC7_7262	SHC-mediated cascade
PC7_7263	SHC-mediated signalling
PC7_7264	SHC-related events
PC7_7265	SHC-related events triggered by IGF1R
PC7_7266	SHC1 events in EGFR signaling
PC7_7267	SHC1 events in ERBB2 signaling
PC7_7268	SHC1 events in ERBB4 signaling
