A	Alimentary tract and metabolism
C03BB05	Mefruside and potassium
C03BB07	Clofenamide and potassium
C03BC	Mercurial diuretics
C03BC01	Mersalyl
C03BD	Xanthine derivatives
C03BD01	Theobromine
C03BX	Other low-ceiling diuretics
C03BX03	Cicletanine
C03C	High-ceiling diuretics
C03CA	Sulfonamides, plain
C03CA03	Piretanide
C03CA04	Torasemide
C03CC	Aryloxyacetic acid derivatives
C03CC01	Etacrynic acid
C03CC02	Tienilic acid
C03CD	Pyrazolone derivatives
C03CD01	Muzolimine
C03D	Potassium-sparing agents
C03DA	Aldosterone antagonists
C03DA01	Spironolactone
C03DA02	Potassium canrenoate
C03DA03	Canrenone
C03DA04	Eplerenone
C03DB	Other potassium-sparing agents
C03DB01	Amiloride
C03DB02	Triamterene
C03E	Diuretics and potassium-sparing agents in combination
C03EA	Low-ceiling diuretics and potassium-sparing agents
C03EA03	Epitizide and potassium-sparing agents
C03EA12	Metolazone and potassium-sparing agents
C03EB	High-ceiling diuretics and potassium-sparing agents
C03EB01	Furosemide and potassium-sparing agents
C03X	Other diuretics
C03XA	Vasopressin antagonists
C03XA01	Tolvaptan
C03XA02	Conivaptan
C04	Peripheral vasodilators
C04A	Peripheral vasodilators
C04AA	2-amino-1-phenylethanol derivatives
C04AA01	Isoxsuprine
C04AA02	Buphenine
C04AA31	Bamethan
C04AC	Nicotinic acid and derivatives
C04AC03	Inositol nicotinate
C04AC07	Ciclonicate
C04AD	Purine derivatives
C04AD01	Pentifylline
C04AD02	Xantinol nicotinate
C04AD03	Pentoxifylline
C04AD04	Etofylline nicotinate
C04AE	Ergot alkaloids
C04AE02	Nicergoline
C04AE54	Dihydroergocristine, combinations
C04AF	Enzymes
C04AF01	Kallidinogenase
C04AX	Other peripheral vasodilators
C04AX01	Cyclandelate
C04AX02	Phenoxybenzamine
C04AX07	Vincamine
C04AX10	Moxisylyte
C04AX11	Bencyclane
C04AX17	Vinburnine
C04AX19	Suloctidil
C04AX20	Buflomedil
C04AX21	Naftidrofuryl
C04AX23	Butalamine
C04AX24	Visnadine
C04AX26	Cetiedil
C04AX27	Cinepazide
C04AX28	Ifenprodil
C04AX30	Azapetine
C04AX32	Fasudil
C05	Vasoprotectives
C05A	Agents for treatment of hemorrhoids and anal fissures for topical use
C05AA	Corticosteroids
C05AA11	Fluocinonide
C05AD	Local anesthetics
C05AD02	Tetracaine
C05AD03	Benzocaine
C05AD06	Oxetacaine
C05AX	Other agents for treatment of hemorrhoids and anal fissures for topical use
C05AX04	Zinc preparations
C05B	Antivaricose therapy
C05BA	Heparins or heparinoids for topical use
C05BA02	Sodium apolate
C05BA04	Pentosan polysulfate sodium
C05BB	Sclerosing agents for local injection
C05BB01	Monoethanolamine oleate
C05BB02	Polidocanol
C05BB03	Invert sugar
C05BB04	Sodium tetradecyl sulfate
C05BB05	Phenol
C05BX	Other sclerosing agents
C05BX01	Calcium dobesilate
C05C	Capillary stabilizing agents
C05CA	Bioflavonoids
C05CA01	Rutoside
C05CA02	Monoxerutin
C05CA03	Diosmin
C05CA04	Troxerutin
C05CA05	Hidrosmin
C05CX	Other capillary stabilizing agents
C05CX01	Tribenoside
C05CX02	Naftazone
C05CX03	Hippocastani semen
C07	Beta blocking agents
C07A	Beta blocking agents
C07AA	Beta blocking agents, non-selective
C07AA01	Alprenolol
C07AA06	Timolol
C07AA07	Sotalol
C07AA14	Mepindolol
C07AA16	Tertatolol
C07AA17	Bopindolol
C07AA19	Bupranolol
C07AA27	Cloranolol
C07AB	Beta blocking agents, selective
C07AB01	Practolol
C07AB04	Acebutolol
C07AB06	Bevantolol
C07AB08	Celiprolol
C07AB09	Esmolol
C07AB10	Epanolol
C07AB11	S-atenolol
C07AB13	Talinolol
C07AB14	Landiolol
C07AG	Alpha and beta blocking agents
C07AG02	Carvedilol
C07B	Beta blocking agents and thiazides
C07BA	Beta blocking agents, non-selective, and thiazides
C07BA02	Oxprenolol and thiazides
C07BA12	Nadolol and thiazides
C07BG	Alpha and beta blocking agents and thiazides
C07BG01	Labetalol and thiazides
C07C	Beta blocking agents and other diuretics
C07CA	Beta blocking agents, non-selective, and other diuretics
C07CA03	Pindolol and other diuretics
C07CA23	Penbutolol and other diuretics
C07CB	Beta blocking agents, selective, and other diuretics
C07CB53	Atenolol and other diuretics, combinations
C07F	Beta blocking agents, other combinations
C07FB	Beta blocking agents and calcium channel blockers
C07FB02	Metoprolol and felodipine
C07FX	Beta blocking agents, other combinations
C07FX01	Propranolol and other combinations
C07FX04	Bisoprolol and acetylsalicylic acid
C08	Calcium channel blockers
C08C	Selective calcium channel blockers with mainly vascular effects
C08CA	Dihydropyridine derivatives
C08CA03	Isradipine
C08CA04	Nicardipine
C08CA06	Nimodipine
C08CA07	Nisoldipine
C08CA08	Nitrendipine
C08CA09	Lacidipine
C08CA10	Nilvadipine
C08CA11	Manidipine
C08CA12	Barnidipine
C08CA14	Cilnidipine
C08CA15	Benidipine
C08CA16	Clevidipine
C08CA55	Nifedipine, combinations
C08CX	Other selective calcium channel blockers with mainly vascular effects
C08CX01	Mibefradil
C08D	Selective calcium channel blockers with direct cardiac effects
C08DA	Phenylalkylamine derivatives
C08DA02	Gallopamil
C08DB	Benzothiazepine derivatives
C08DB01	Diltiazem
C08E	Non-selective calcium channel blockers
C08EA	Phenylalkylamine derivatives
C08EA01	Fendiline
C08EA02	Bepridil
C08EX	Other non-selective calcium channel blockers
C08EX01	Lidoflazine
C08EX02	Perhexiline
C09	Agents acting on the renin-angiotensin system
C09A	Ace inhibitors, plain
C09AA	Ace inhibitors, plain
C09AA01	Captopril
C09AA06	Quinapril
C09AA10	Trandolapril
C09AA11	Spirapril
C09AA12	Delapril
C09AA13	Moexipril
C09AA14	Temocapril
C09AA16	Imidapril
C09B	Ace inhibitors, combinations
C09BA	Ace inhibitors and diuretics
C09BA02	Enalapril and diuretics
C09BA03	Lisinopril and diuretics
C09BA07	Benazepril and diuretics
C09BA08	Cilazapril and diuretics
C09BA09	Fosinopril and diuretics
C09BA15	Zofenopril and diuretics
C09BB	Ace inhibitors and calcium channel blockers
C09BB10	Trandolapril and verapamil
C09BX	Ace inhibitors, other combinations
C09BX01	Perindopril, amlodipine and indapamide
C09BX03	Ramipril, amlodipine and hydrochlorothiazide
C09C	Angiotensin ii receptor blockers (arbs), plain
C09CA	Angiotensin ii receptor blockers (arbs), plain
C09CA01	Losartan
C09CA04	Irbesartan
C09CA05	Tasosartan
C09CA09	Azilsartan medoxomil
C09D	Angiotensin ii receptor blockers (arbs), combinations
C09DA	Angiotensin ii receptor blockers (arbs) and diuretics
C09DA02	Eprosartan and diuretics
C09DA08	Olmesartan medoxomil and diuretics
C09DA10	Fimasartan and diuretics
C09DB	Angiotensin ii receptor blockers (arbs) and calcium channel blockers
C09DB04	Telmisartan and amlodipine
C09DB07	Candesartan and amlodipine
C09DB08	Valsartan and lercanidipine
C09DX	Angiotensin ii receptor blockers (arbs), other combinations
C09DX04	Valsartan and sacubitril
C09DX05	Valsartan and nebivolol
C09X	Other agents acting on the renin-angiotensin system
C09XA	Renin-inhibitors
C09XA01	Remikiren
C09XA54	Aliskiren, amlodipine and hydrochlorothiazide
C10	Lipid modifying agents
C10A	Lipid modifying agents, plain
C10AA	Hmg coa reductase inhibitors
C10AA02	Lovastatin
C10AA03	Pravastatin
C10AA04	Fluvastatin
C10AA06	Cerivastatin
C10AA08	Pitavastatin
C10AB	Fibrates
C10AB01	Clofibrate
C10AB02	Bezafibrate
C10AB03	Aluminium clofibrate
C10AB04	Gemfibrozil
C10AB06	Simfibrate
C10AB07	Ronifibrate
C10AB08	Ciprofibrate
C10AB09	Etofibrate
C10AB10	Clofibride
C10AB11	Choline fenofibrate
C10AC	Bile acid sequestrants
C10AC01	Colestyramine
C10AC02	Colestipol
C10AC04	Colesevelam
C10AD	Nicotinic acid and derivatives
C10AD01	Niceritrol
C10AD02	Nicotinic acid
C10AD03	Nicofuranose
C10AD04	Aluminium nicotinate
C10AD05	Nicotinyl alcohol (pyridylcarbinol)
C10AD06	Acipimox
C10AX	Other lipid modifying agents
C10AX01	Dextrothyroxine
C10AX02	Probucol
C10AX03	Tiadenol
C10AX05	Meglutol
C10AX10	Alipogene tiparvovec
C10AX11	Mipomersen
C10AX12	Lomitapide
C10AX13	Evolocumab
C10AX14	Alirocumab
C10B	Lipid modifying agents, combinations
C10BA	Combinations of various lipid modifying agents
C10BA02	Simvastatin and ezetimibe
C10BA03	Pravastatin and fenofibrate
C10BX	Lipid modifying agents in combination with other drugs
C10BX10	Rosuvastatin and valsartan
C10BX15	Atorvastatin and perindopril
D	Dermatologicals
D01	Antifungals for dermatological use
D01A	Antifungals for topical use
D01AA	Antibiotics
D01AA01	Nystatin
D01AA04	Pecilocin
D01AA07	Pyrrolnitrin
D01AC	Imidazole and triazole derivatives
D01AC01	Clotrimazole
D01AC04	Chlormidazole
D01AC06	Tiabendazole
D01AC09	Sulconazole
D01AC10	Bifonazole
D01AC11	Oxiconazole
D01AC12	Fenticonazole
D01AC17	Eberconazole
D01AC18	Luliconazole
D01AC19	Efinaconazole
D01AE	Other antifungals for topical use
D01AE01	Bromochlorosalicylanilide
D01AE03	Tribromometacresol
D01AE04	Undecylenic acid
D01AE06	2-(4-chlorphenoxy)-ethanol
D01AE07	Chlorphenesin
D01AE08	Ticlatone
D01AE09	Sulbentine
D01AE10	Ethyl hydroxybenzoate
D01AE11	Haloprogin
D01AE12	Salicylic acid
D01AE13	Selenium sulfide
D01AE14	Ciclopirox
D01AE15	Terbinafine
D01AE16	Amorolfine
D01AE17	Dimazole
D01AE18	Tolnaftate
D01AE19	Tolciclate
D01AE22	Naftifine
D01AE23	Butenafine
D01AE24	Tavaborole
D01B	Antifungals for systemic use
D01BA	Antifungals for systemic use
D01BA01	Griseofulvin
D02	Emollients and protectives
D02A	Emollients and protectives
D02AE	Carbamide products
D02AE01	Carbamide
D02B	Protectives against uv-radiation
D02BA	Protectives against uv-radiation for topical use
D02BA01	Aminobenzoic acid
D02BA02	Octinoxate
D02BB	Protectives against uv-radiation for systemic use
D02BB02	Afamelanotide
D03	Preparations for treatment of wounds and ulcers
D03A	Cicatrizants
D03AX	Other cicatrizants
D03AX02	Dextranomer
D03AX03	Dexpanthenol
D03AX04	Calcium pantothenate
D03AX06	Becaplermin
D03AX10	Enoxolone
D03AX11	Sodium chlorite
D03AX12	Trolamine
D03B	Enzymes
D03BA	Proteolytic enzymes
D03BA02	Collagenase
D03BA03	Bromelains
D04	Antipruritics, incl. antihistamines, anesthetics, etc.
D04A	Antipruritics, incl. antihistamines, anesthetics, etc.
D04AA	Antihistamines for topical use
D04AA01	Thonzylamine
D04AA02	Mepyramine
D04AA09	Chloropyramine
D04AA12	Tolpropamine
D04AA14	Clemastine
D04AA32	Diphenhydramine
D04AA34	Chlorphenoxamine
D04AB	Anesthetics for topical use
D04AB02	Cinchocaine
D04AB05	Quinisocaine
D04AB07	Pramocaine
D05	Antipsoriatics
D05A	Antipsoriatics for topical use
D05AC	Antracen derivatives
D05AC01	Dithranol
D05AX	Other antipsoriatics for topical use
D05AX01	Fumaric acid
D05AX03	Calcitriol
D05AX04	Tacalcitol
D05AX05	Tazarotene
D05AX52	Calcipotriol, combinations
D05B	Antipsoriatics for systemic use
D05BA	Psoralens for systemic use
D05BA01	Trioxysalen
D05BA02	Methoxsalen
D05BA03	Bergapten
D05BB	Retinoids for treatment of psoriasis
D05BB01	Etretinate
D05BB02	Acitretin
D06	Antibiotics and chemotherapeutics for dermatological use
D06A	Antibiotics for topical use
D06AA	Tetracycline and derivatives
D06AA02	Chlortetracycline
D06AX	Other antibiotics for topical use
D06AX10	Virginiamycin
D06AX13	Retapamulin
D06AX14	Ozenoxacin
D06B	Chemotherapeutics for topical use
D06BA	Sulfonamides
D06BA01	Silver sulfadiazine
D06BB	Antivirals
D06BB04	Podophyllotoxin
D06BB06	Penciclovir
D06BB08	Ibacitabine
D06BB09	Edoxudine
D06BB10	Imiquimod
D06BB11	Docosanol
D06BB12	Sinecatechins
D06BX	Other chemotherapeutics
D06BX02	Ingenol mebutate
D07	Corticosteroids, dermatological preparations
D07A	Corticosteroids, plain
D07AB	Corticosteroids, moderately potent (group ii)
D07AB01	Clobetasone
D07AB02	Hydrocortisone butyrate
D07AB03	Flumetasone
D07AB04	Fluocortin
D07AB05	Fluperolone
D07AB09	Triamcinolone
D07AB10	Alclometasone
D07AB11	Hydrocortisone buteprate
D07AB21	Clocortolone
D07AC	Corticosteroids, potent (group iii)
D07AC02	Fluclorolone
D07AC03	Desoximetasone
D07AC05	Fluocortolone
D07AC06	Diflucortolone
D07AC09	Budesonide
D07AC10	Diflorasone
D07AC11	Amcinonide
D07AC12	Halometasone
D07AC13	Mometasone
D07AC14	Methylprednisolone aceponate
D07AC16	Hydrocortisone aceponate
D07AC18	Prednicarbate
D07AC19	Difluprednate
D07AC21	Ulobetasol
D07AD	Corticosteroids, very potent (group iv)
D07AD01	Clobetasol
D07AD02	Halcinonide
D07C	Corticosteroids, combinations with antibiotics
D07CC	Corticosteroids, potent, combinations with antibiotics
D07CC03	Fludroxycortide and antibiotics
D07CC04	Beclometasone and antibiotics
D07X	Corticosteroids, other combinations
D07XB	Corticosteroids, moderately potent, other combinations
D07XB03	Fluprednidene
D07XB04	Fluorometholone
D08	Antiseptics and disinfectants
D08A	Antiseptics and disinfectants
D08AA	Acridine derivatives
D08AA02	Aminoacridine
D08AA03	Euflavine
D08AC	Biguanides and amidines
D08AC01	Dibrompropamidine
D08AC05	Polihexanide
D08AE	Phenol and derivatives
D08AE01	Hexachlorophene
D08AE02	Policresulen
D08AE04	Triclosan
D08AE05	Chloroxylenol
D08AE06	Biphenylol
D08AF	Nitrofuran derivatives
D08AF01	Nitrofural
D08AG	Iodine products
D08AG03	Iodine
D08AG04	Diiodohydroxypropane
D08AH	Quinoline derivatives
D08AH01	Dequalinium
D08AJ	Quaternary ammonium compounds
D08AJ03	Cetylpyridinium
D08AJ04	Cetrimide
D08AJ06	Didecyldimethylammonium chloride
D08AJ10	Decamethoxine
D08AJ58	Benzethonium chloride, combinations
D08AK	Mercurial products
D08AK01	Mercuric amidochloride
D08AK02	Phenylmercuric borate
D08AK03	Mercuric chloride
D08AK04	Merbromin
D08AK06	Thiomersal
D08AK30	Mercuric iodide
D08AL	Silver compounds
D08AL01	Silver nitrate
D08AL30	Silver
D08AX	Other antiseptics and disinfectants
D08AX01	Hydrogen peroxide
D08AX02	Eosin
D08AX03	Propanol
D08AX04	Tosylchloramide sodium
D08AX05	Isopropanol
D08AX07	Sodium hypochlorite
D09	Medicated dressings
D09A	Medicated dressings
D09AA	Medicated dressings with antiinfectives
D09AA01	Framycetin
D09AA04	Phenylmercuric nitrate
D09AA05	Benzododecinium
D09AA08	Aluminium chlorohydrate
D09AA13	Iodoform
D10	Anti-acne preparations
D10A	Anti-acne preparations for topical use
D10AA	Corticosteroids, combinations for treatment of acne
D10AA02	Methylprednisolone
D10AB	Preparations containing sulfur
D10AB01	Bithionol
D10AB02	Sulfur
D10AB03	Tioxolone
D10AD	Retinoids for topical use in acne
D10AD03	Adapalene
D10AD04	Isotretinoin
D10AD05	Motretinide
D10AD06	Trifarotene
D10AD51	Tretinoin, combinations
D10AE	Peroxides
D10AE01	Benzoyl peroxide
D10AF	Antiinfectives for treatment of acne
D10AF01	Clindamycin
D10AF04	Meclocycline
D10AF05	Nadifloxacin
D10AF06	Sulfacetamide
D10AX	Other anti-acne preparations for topical use
D10AX01	Aluminium chloride
D10AX02	Resorcinol
D10AX03	Azelaic acid
D10AX04	Aluminium oxide
D10AX05	Dapsone
D11	Other dermatological preparations
D11A	Other dermatological preparations
D11AC	Medicated shampoos
D11AC09	Xenysalate
D11AH	Agents for dermatitis, excluding corticosteroids
D11AH01	Tacrolimus
D11AH02	Pimecrolimus
D11AH04	Alitretinoin
D11AH05	Dupilumab
D11AH06	Crisaborole
D11AX	Other dermatologicals
D11AX01	Minoxidil
D11AX02	Gamolenic acid
D11AX04	Lithium succinate
D11AX06	Mequinol
D11AX10	Finasteride
D11AX11	Hydroquinone
D11AX12	Pyrithione zinc
D11AX13	Monobenzone
D11AX21	Brimonidine
D11AX24	Deoxycholic acid
G	Genito urinary system and sex hormones
G01	Gynecological antiinfectives and antiseptics
G01A	Antiinfectives and antiseptics, excl. combinations with corticosteroids
G01AA	Antibiotics
G01AA02	Natamycin
G01AA03	Amphotericin b
G01AA04	Candicidin
G01AA08	Carfecillin
G01AA11	Pentamycin
G01AB	Arsenic compounds
G01AB01	Acetarsol
G01AC	Quinoline derivatives
G01AC01	Diiodohydroxyquinoline
G01AC02	Clioquinol
G01AD	Organic acids
G01AD01	Lactic acid
G01AD03	Ascorbic acid
G01AE	Sulfonamides
G01AE01	Sulfatolamide
G01AE10	Combinations of sulfonamides
G01AF	Imidazole derivatives
G01AF05	Econazole
G01AF06	Ornidazole
G01AF07	Isoconazole
G01AF11	Ketoconazole
G01AF13	Azanidazole
G01AF14	Propenidazole
G01AF16	Omoconazole
G01AF18	Flutrimazole
G01AF19	Sertaconazole
G01AF20	Combinations of imidazole derivatives
G01AG	Triazole derivatives
G01AG02	Terconazole
G01AX	Other antiinfectives and antiseptics
G01AX01	Clodantoin
G01AX02	Inosine
G01AX05	Nifuratel
G01AX06	Furazolidone
G01AX09	Methylrosaniline
G01AX11	Povidone-iodine
G01AX13	Protiofate
G01AX15	Copper usnate
G01AX16	Hexetidine
G01AX17	Dapivirine
G01AX66	Octenidine, combinations
G02	Other gynecologicals
G02A	Uterotonics
G02AB	Ergot alkaloids
G02AB03	Ergometrine
G02AC	Ergot alkaloids and oxytocin incl. analogues, in combination
G02AC01	Methylergometrine and oxytocin
G02AD	Prostaglandins
G02AD01	Dinoprost
G02AD02	Dinoprostone
G02AD03	Gemeprost
G02AD04	Carboprost
G02AD05	Sulprostone
G02AD06	Misoprostol
G02C	Other gynecologicals
G02CA	Sympathomimetics, labour repressants
G02CA01	Ritodrine
G02CB	Prolactine inhibitors
G02CB02	Lisuride
G02CB04	Quinagolide
G02CB05	Metergoline
G02CB06	Terguride
G02CC	Antiinflammatory products for vaginal administration
G02CC01	Ibuprofen
G02CC02	Naproxen
G02CX	Other gynecologicals
G02CX01	Atosiban
G02CX02	Flibanserin
G02CX03	Agni casti fructus
G02CX04	Cimicifugae rhizoma
G03	Sex hormones and modulators of the genital system
G03A	Hormonal contraceptives for systemic use
G03AA	Progestogens and estrogens, fixed combinations
G03AA05	Norethisterone and ethinylestradiol
G03AA10	Gestodene and ethinylestradiol
G03AA11	Norgestimate and ethinylestradiol
G03AA13	Norelgestromin and ethinylestradiol
G03AA14	Nomegestrol and estradiol
G03AA15	Chlormadinone and ethinylestradiol
G03AB	Progestogens and estrogens, sequential preparations
G03AB02	Lynestrenol and ethinylestradiol
G03AB03	Levonorgestrel and ethinylestradiol
G03AB08	Dienogest and estradiol
G03AC	Progestogens
G03AC04	Quingestanol
G03AC07	Norgestrienone
G03AC08	Etonogestrel
G03AC09	Desogestrel
G03AC10	Drospirenone
G03AD	Emergency contraceptives
G03AD02	Ulipristal
G03B	Androgens
G03BA	3-oxoandrosten (4) derivatives
G03BA01	Fluoxymesterone
G03BA02	Methyltestosterone
G03BA03	Testosterone
G03BB	5-androstanon (3) derivatives
G03BB01	Mesterolone
G03C	Estrogens
G03CA	Natural and semisynthetic estrogens, plain
G03CA06	Chlorotrianisene
G03CA09	Promestriene
G03CA57	Conjugated estrogens
G03CB	Synthetic estrogens, plain
G03CB01	Dienestrol
G03CB04	Moxestrol
G03CC	Estrogens, combinations with other drugs
G03CC03	Methallenestril
G03CC04	Estrone
G03CC06	Estriol
G03CX	Other estrogens
G03CX01	Tibolone
G03D	Progestogens
G03DA	Pregnen (4) derivatives
G03DA02	Medroxyprogesterone
G03DB	Pregnadien derivatives
G03DB05	Demegestone
G03DB07	Promegestone
G03DC	Estren derivatives
G03DC01	Allylestrenol
G03DC06	Etynodiol
G03DC31	Methylestrenolone
G03E	Androgens and female sex hormones in combination
G03EA	Androgens and estrogens
G03EA03	Prasterone and estrogen
G03F	Progestogens and estrogens in combination
G03FA	Progestogens and estrogens, fixed combinations
G03FA02	Hydroxyprogesterone and estrogen
G03FA04	Progesterone and estrogen
G03FA09	Noretynodrel and estrogen
G03FA10	Norgestrel and estrogen
G03FA14	Dydrogesterone and estrogen
G03FA16	Trimegestone and estrogen
G03FB	Progestogens and estrogens, sequential preparations
G03FB04	Megestrol and estrogen
G03FB07	Medrogestone and estrogen
G03G	Gonadotropins and other ovulation stimulants
G03GA	Gonadotropins
G03GA01	Chorionic gonadotrophin
G03GA02	Human menopausal gonadotrophin
G03GA04	Urofollitropin
G03GA07	Lutropin alfa
G03GA08	Choriogonadotropin alfa
G03GA09	Corifollitropin alfa
G03GA10	Follitropin delta
G03GB	Ovulation stimulants, synthetic
G03GB01	Cyclofenil
G03GB02	Clomifene
G03GB03	Epimestrol
G03H	Antiandrogens
G03HB	Antiandrogens and estrogens
G03HB01	Cyproterone and estrogen
G03X	Other sex hormones and modulators of the genital system
G03XA	Antigonadotropins and similar agents
G03XA01	Danazol
G03XA02	Gestrinone
G03XB	Progesterone receptor modulators
G03XB01	Mifepristone
G03XC	Selective estrogen receptor modulators
G03XC01	Raloxifene
G03XC02	Bazedoxifene
G03XC03	Lasofoxifene
G03XC04	Ormeloxifene
G03XC05	Ospemifene
G04	Urologicals
G04B	Urologicals
G04BD	Drugs for urinary frequency and incontinence
G04BD02	Flavoxate
G04BD03	Meladrazine
G04BD04	Oxybutynin
G04BD05	Terodiline
G04BD06	Propiverine
G04BD07	Tolterodine
G04BD08	Solifenacin
G04BD10	Darifenacin
G04BD11	Fesoterodine
G04BD12	Mirabegron
G04BD13	Desfesoterodine
G04BE	Drugs used in erectile dysfunction
G04BE02	Papaverine
G04BE04	Yohimbine
G04BE07	Apomorphine
G04BE08	Tadalafil
G04BE09	Vardenafil
G04BE10	Avanafil
G04BE11	Udenafil
G04BX	Other urologicals
G04BX01	Magnesium hydroxide
G04BX03	Acetohydroxamic acid
G04BX06	Phenazopyridine
G04BX10	Succinimide
G04BX12	Phenyl salicylate
G04BX14	Dapoxetine
G04BX16	Tiopronin
G04C	Drugs used in benign prostatic hypertrophy
G04CA	Alpha-adrenoreceptor antagonists
G04CA01	Alfuzosin
G04CA03	Terazosin
G04CA04	Silodosin
G04CA52	Tamsulosin and dutasteride
G04CB	Testosterone-5-alpha reductase inhibitors
G04CB02	Dutasteride
G04CX	Other drugs used in benign prostatic hypertrophy
G04CX03	Mepartricin
H	Systemic hormonal preparations, excl. sex hormones and insulins
H01	Pituitary and hypothalamic hormones and analogues
H01A	Anterior pituitary lobe hormones and analogues
H01AA	Acth
H01AA01	Corticotropin
H01AA02	Tetracosactide
H01AB	Thyrotropin
H01AB01	Thyrotropin alfa
H01AC	Somatropin and somatropin agonists
H01AC01	Somatropin
H01AC02	Somatrem
H01AC03	Mecasermin
H01AC05	Mecasermin rinfabate
H01AC06	Tesamorelin
H01AX	Other anterior pituitary lobe hormones and analogues
H01AX01	Pegvisomant
H01B	Posterior pituitary lobe hormones
H01BA	Vasopressin and analogues
H01BA02	Desmopressin
H01BA03	Lypressin
H01BA04	Terlipressin
H01BA05	Ornipressin
H01BB	Oxytocin and analogues
H01BB01	Demoxytocin
H01BB03	Carbetocin
H01C	Hypothalamic hormones
H01CA	Gonadotropin-releasing hormones
H01CA02	Nafarelin
H01CB	Somatostatin and analogues
H01CB01	Somatostatin
H01CB02	Octreotide
H01CB03	Lanreotide
H01CB04	Vapreotide
H01CB05	Pasireotide
H01CC	Anti-gonadotropin-releasing hormones
H01CC01	Ganirelix
H01CC02	Cetrorelix
H02	Corticosteroids for systemic use
H02A	Corticosteroids for systemic use, plain
H02AA	Mineralocorticoids
H02AA01	Aldosterone
H02AB	Glucocorticoids
H02AB05	Paramethasone
H02AB10	Cortisone
H02AB11	Prednylidene
H02AB12	Rimexolone
H02AB13	Deflazacort
H02AB14	Cloprednol
H02AB15	Meprednisone
H02AB17	Cortivazol
H02C	Antiadrenal preparations
H02CA	Anticorticosteroids
H02CA01	Trilostane
H03	Thyroid therapy
H03A	Thyroid preparations
H03AA	Thyroid hormones
H03AA01	Levothyroxine sodium
H03AA03	Combinations of levothyroxine and liothyronine
H03AA04	Tiratricol
H03B	Antithyroid preparations
H03BA	Thiouracils
H03BA01	Methylthiouracil
H03BA02	Propylthiouracil
H03BA03	Benzylthiouracil
H03BB	Sulfur-containing imidazole derivatives
H03BB01	Carbimazole
H03BB52	Thiamazole, combinations
H03BC	Perchlorates
H03BC01	Potassium perchlorate
H03BX	Other antithyroid preparations
H03BX02	Dibromotyrosine
H04	Pancreatic hormones
H04A	Glycogenolytic hormones
H04AA	Glycogenolytic hormones
H04AA01	Glucagon
H05	Calcium homeostasis
H05A	Parathyroid hormones and analogues
H05AA	Parathyroid hormones and analogues
H05AA02	Teriparatide
H05AA03	Parathyroid hormone
H05B	Anti-parathyroid agents
H05BA	Calcitonin preparations
H05BA01	Calcitonin (salmon synthetic)
H05BA02	Calcitonin (pork natural)
H05BA03	Calcitonin (human synthetic)
H05BA04	Elcatonin
H05BX	Other anti-parathyroid agents
H05BX01	Cinacalcet
H05BX02	Paricalcitol
H05BX03	Doxercalciferol
H05BX04	Etelcalcetide
J	Antiinfectives for systemic use
J01	Antibacterials for systemic use
J01A	Tetracyclines
J01AA	Tetracyclines
J01AA01	Demeclocycline
J01AA02	Doxycycline
J01AA04	Lymecycline
J01AA05	Metacycline
J01AA06	Oxytetracycline
J01AA08	Minocycline
J01AA10	Penimepicycline
J01AA11	Clomocycline
J01AA13	Eravacycline
J01AA20	Combinations of tetracyclines
J01B	Amphenicols
J01BA	Amphenicols
J01BA02	Thiamphenicol
J01C	Beta-lactam antibacterials, penicillins
J01CA	Penicillins with extended spectrum
J01CA07	Epicillin
J01CA11	Mecillinam
J01CA12	Piperacillin
J01CA14	Metampicillin
J01CA15	Talampicillin
J01CA16	Sulbenicillin
J01CA18	Hetacillin
J01CA19	Aspoxicillin
J01CE	Beta-lactamase sensitive penicillins
J01CE03	Propicillin
J01CE04	Azidocillin
J01CE06	Penamecillin
J01CE07	Clometocillin
J01CG	Beta-lactamase inhibitors
J01CG01	Sulbactam
J01CG02	Tazobactam
J01CR	Combinations of penicillins, incl. beta-lactamase inhibitors
J01CR50	Combinations of penicillins
J01D	Other beta-lactam antibacterials
J01DB	First-generation cephalosporins
J01DB01	Cefalexin
J01DB02	Cefaloridine
J01DB03	Cefalotin
J01DB04	Cefazolin
J01DB05	Cefadroxil
J01DB06	Cefazedone
J01DB07	Cefatrizine
J01DB08	Cefapirin
J01DB09	Cefradine
J01DB10	Cefacetrile
J01DB11	Cefroxadine
J01DB12	Ceftezole
J01DC	Second-generation cephalosporins
J01DC01	Cefoxitin
J01DC03	Cefamandole
J01DC04	Cefaclor
J01DC05	Cefotetan
J01DC06	Cefonicid
J01DC07	Cefotiam
J01DC08	Loracarbef
J01DC09	Cefmetazole
J01DC10	Cefprozil
J01DC11	Ceforanide
J01DC12	Cefminox
J01DC13	Cefbuperazone
J01DC14	Flomoxef
J01DD	Third-generation cephalosporins
J01DD01	Cefotaxime
J01DD02	Ceftazidime
J01DD03	Cefsulodin
J01DD04	Ceftriaxone
J01DD05	Cefmenoxime
J01DD06	Latamoxef
J01DD07	Ceftizoxime
J01DD08	Cefixime
J01DD09	Cefodizime
J01DD10	Cefetamet
J01DD11	Cefpiramide
J01DD12	Cefoperazone
J01DD13	Cefpodoxime
J01DD14	Ceftibuten
J01DD15	Cefdinir
J01DD16	Cefditoren
J01DD17	Cefcapene
J01DE	Fourth-generation cephalosporins
J01DE01	Cefepime
