GO:0000015	phosphopyruvate hydratase complex
GO:0033648	host intracellular membrane-bounded organelle
GO:0033655	host cell cytoplasm part
GO:0033768	SUMO-targeted ubiquitin ligase complex
GO:0034045	pre-autophagosomal structure membrane
GO:0034066	RIC1-RGP1 guanyl-nucleotide exchange factor complex
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II
GO:0034274	Atg12-Atg5-Atg16 complex
GO:0034358	plasma lipoprotein particle
GO:0034361	very-low-density lipoprotein particle
GO:0034362	low-density lipoprotein particle
GO:0034363	intermediate-density lipoprotein particle
GO:0034364	high-density lipoprotein particle
GO:0034365	discoidal high-density lipoprotein particle
GO:0034366	spherical high-density lipoprotein particle
GO:0034385	triglyceride-rich lipoprotein particle
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome
GO:0034399	nuclear periphery
GO:0034451	centriolar satellite
GO:0034455	t-UTP complex
GO:0034456	UTP-C complex
GO:0034457	Mpp10 complex
GO:0034464	BBSome
GO:0034515	proteasome storage granule
GO:0034518	RNA cap binding complex
GO:0034663	endoplasmic reticulum chaperone complex
GO:0034665	integrin alpha1-beta1 complex
GO:0034666	integrin alpha2-beta1 complex
GO:0034667	integrin alpha3-beta1 complex
GO:0034669	integrin alpha4-beta7 complex
GO:0034673	inhibin-betaglycan-ActRII complex
GO:0034677	integrin alpha7-beta1 complex
GO:0034678	integrin alpha8-beta1 complex
GO:0034679	integrin alpha9-beta1 complex
GO:0034680	integrin alpha10-beta1 complex
GO:0034681	integrin alpha11-beta1 complex
GO:0034683	integrin alphav-beta3 complex
GO:0034684	integrin alphav-beta5 complex
GO:0034686	integrin alphav-beta8 complex
GO:0034687	integrin alphaL-beta2 complex
GO:0034702	ion channel complex
GO:0034703	cation channel complex
GO:0034704	calcium channel complex
GO:0034705	potassium channel complex
GO:0034706	sodium channel complex
GO:0034707	chloride channel complex
GO:0034708	methyltransferase complex
GO:0034709	methylosome
GO:0034715	pICln-Sm protein complex
GO:0034719	SMN-Sm protein complex
GO:0034750	Scrib-APC-beta-catenin complex
GO:0034751	aryl hydrocarbon receptor complex
GO:0034774	secretory granule lumen
GO:0034991	nuclear meiotic cohesin complex
GO:0034992	microtubule organizing center attachment site
GO:0034993	LINC complex
GO:0035032	phosphatidylinositol 3-kinase complex, class III
GO:0035061	interchromatin granule
GO:0035068	micro-ribonucleoprotein complex
GO:0035097	histone methyltransferase complex
GO:0035098	ESC/E(Z) complex
GO:0035101	FACT complex
GO:0035102	PRC1 complex
GO:0035145	exon-exon junction complex
GO:0035189	Rb-E2F complex
GO:0035253	ciliary rootlet
GO:0035267	NuA4 histone acetyltransferase complex
GO:0035327	transcriptionally active chromatin
GO:0035339	SPOTS complex
GO:0035354	Toll-like receptor 1-Toll-like receptor 2 protein complex
GO:0035355	Toll-like receptor 2-Toll-like receptor 6 protein complex
GO:0035363	histone locus body
GO:0035370	UBC13-UEV1A complex
GO:0035371	microtubule plus-end
GO:0035517	PR-DUB complex
GO:0035577	azurophil granule membrane
GO:0035578	azurophil granule lumen
GO:0035631	CD40 receptor complex
GO:0035686	sperm fibrous sheath
GO:0035692	macrophage migration inhibitory factor receptor complex
GO:0035748	myelin sheath abaxonal region
GO:0035749	myelin sheath adaxonal region
GO:0035770	ribonucleoprotein granule
GO:0035838	growing cell tip
GO:0035841	new growing cell tip
GO:0035859	Seh1-associated complex
GO:0035861	site of double-strand break
GO:0035869	ciliary transition zone
GO:0035985	senescence-associated heterochromatin focus
GO:0036019	endolysosome
GO:0036020	endolysosome membrane
GO:0036021	endolysosome lumen
GO:0036038	TCTN-B9D complex
GO:0036056	filtration diaphragm
GO:0036057	slit diaphragm
GO:0036064	ciliary basal body
GO:0036117	hyaluranon cable
GO:0036126	sperm flagellum
GO:0036128	CatSper complex
GO:0036156	inner dynein arm
GO:0036157	outer dynein arm
GO:0036194	muscle cell projection
GO:0036195	muscle cell projection membrane
GO:0036338	viral membrane
GO:0036379	myofilament
GO:0036396	MIS complex
GO:0036398	TCR signalosome
GO:0036449	microtubule minus-end
GO:0036452	ESCRT complex
GO:0036454	growth factor complex
GO:0036457	keratohyalin granule
GO:0036464	cytoplasmic ribonucleoprotein granule
GO:0036477	somatodendritic compartment
GO:0036488	CHOP-C/EBP complex
GO:0036501	UFD1-NPL4 complex
GO:0036502	Derlin-1-VIMP complex
GO:0036513	Derlin-1 retrotranslocation complex
GO:0038037	G-protein coupled receptor dimeric complex
GO:0038039	G-protein coupled receptor heterodimeric complex
GO:0038201	TOR complex
GO:0042101	T cell receptor complex
GO:0042105	alpha-beta T cell receptor complex
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0042272	nuclear RNA export factor complex
GO:0042382	paraspeckles
GO:0042383	sarcolemma
GO:0042405	nuclear inclusion body
GO:0042406	extrinsic component of endoplasmic reticulum membrane
GO:0042470	melanosome
GO:0042555	MCM complex
GO:0042565	RNA nuclear export complex
GO:0042567	insulin-like growth factor ternary complex
GO:0042571	immunoglobulin complex, circulating
GO:0042575	DNA polymerase complex
GO:0042579	microbody
GO:0042581	specific granule
GO:0042582	azurophil granule
GO:0042583	chromaffin granule
GO:0042584	chromaffin granule membrane
GO:0042585	germinal vesicle
GO:0042587	glycogen granule
GO:0042588	zymogen granule
GO:0042589	zymogen granule membrane
GO:0042599	lamellar body
GO:0042611	MHC protein complex
GO:0042612	MHC class I protein complex
GO:0042613	MHC class II protein complex
GO:0042622	photoreceptor outer segment membrane
GO:0042627	chylomicron
GO:0042629	mast cell granule
GO:0042641	actomyosin
GO:0042645	mitochondrial nucleoid
GO:0042719	mitochondrial intermembrane space protein transporter complex
GO:0042720	mitochondrial inner membrane peptidase complex
GO:0042721	mitochondrial inner membrane protein insertion complex
GO:0042734	presynaptic membrane
GO:0042765	GPI-anchor transamidase complex
GO:0042788	polysomal ribosome
GO:0042824	MHC class I peptide loading complex
GO:0042825	TAP complex
GO:0042827	platelet dense granule
GO:0043005	neuron projection
GO:0043020	NADPH oxidase complex
GO:0043025	neuronal cell body
GO:0043034	costamere
GO:0043073	germ cell nucleus
GO:0043083	synaptic cleft
GO:0043159	acrosomal matrix
GO:0043186	P granule
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0043190	ATP-binding cassette (ABC) transporter complex
GO:0043194	axon initial segment
GO:0043195	terminal bouton
GO:0043196	varicosity
GO:0043197	dendritic spine
GO:0043198	dendritic shaft
GO:0043202	lysosomal lumen
GO:0043203	axon hillock
GO:0043204	perikaryon
GO:0043205	fibril
GO:0043209	myelin sheath
GO:0043218	compact myelin
GO:0043219	lateral loop
GO:0043220	Schmidt-Lanterman incisure
GO:0043224	nuclear SCF ubiquitin ligase complex
GO:0043235	receptor complex
GO:0043240	Fanconi anaemia nuclear complex
GO:0043256	laminin complex
GO:0043259	laminin-10 complex
GO:0043260	laminin-11 complex
GO:0043292	contractile fiber
GO:0043293	apoptosome
GO:0043296	apical junction complex
GO:0043511	inhibin complex
GO:0043512	inhibin A complex
GO:0043514	interleukin-12 complex
GO:0043527	tRNA methyltransferase complex
GO:0043541	UDP-N-acetylglucosamine transferase complex
GO:0043564	Ku70:Ku80 complex
GO:0043596	nuclear replication fork
GO:0043601	nuclear replisome
GO:0043625	delta DNA polymerase complex
GO:0043656	intracellular region of host
GO:0043657	host cell
GO:0043679	axon terminus
GO:0044194	cytolytic granule
GO:0044215	other organism
GO:0044216	other organism cell
GO:0044217	other organism part
GO:0044224	juxtaparanode region of axon
GO:0044232	organelle membrane contact site
GO:0044233	ER-mitochondrion membrane contact site
GO:0044291	cell-cell contact zone
GO:0044292	dendrite terminus
GO:0044294	dendritic growth cone
GO:0044295	axonal growth cone
GO:0044297	cell body
GO:0044298	cell body membrane
GO:0044299	C-fiber
GO:0044300	cerebellar mossy fiber
GO:0044304	main axon
GO:0044306	neuron projection terminus
GO:0044307	dendritic branch
GO:0044308	axonal spine
GO:0044309	neuron spine
GO:0044316	cone cell pedicle
GO:0044322	endoplasmic reticulum quality control compartment
GO:0044326	dendritic spine neck
GO:0044327	dendritic spine head
GO:0044352	pinosome
GO:0044354	macropinosome
GO:0044391	ribosomal subunit
GO:0044393	microspike
GO:0044530	supraspliceosomal complex
GO:0044609	DBIRD complex
GO:0044611	nuclear pore inner ring
GO:0044613	nuclear pore central transport channel
GO:0044614	nuclear pore cytoplasmic filaments
GO:0044615	nuclear pore nuclear basket
GO:0044665	MLL1/2 complex
GO:0044753	amphisome
GO:0044754	autolysosome
GO:0044798	nuclear transcription factor complex
GO:0044815	DNA packaging complex
GO:0044853	plasma membrane raft
GO:0045009	chitosome
GO:0045025	mitochondrial degradosome
GO:0045095	keratin filament
GO:0045098	type III intermediate filament
GO:0045111	intermediate filament cytoskeleton
GO:0045120	pronucleus
GO:0045121	membrane raft
GO:0045171	intercellular bridge
GO:0045177	apical part of cell
GO:0045178	basal part of cell
GO:0045179	apical cortex
GO:0045180	basal cortex
GO:0045202	synapse
GO:0045203	integral component of cell outer membrane
GO:0045211	postsynaptic membrane
GO:0045239	tricarboxylic acid cycle enzyme complex
GO:0045240	dihydrolipoyl dehydrogenase complex
GO:0045252	oxoglutarate dehydrogenase complex
GO:0045254	pyruvate dehydrogenase complex
GO:0045257	succinate dehydrogenase complex (ubiquinone)
GO:0045259	proton-transporting ATP synthase complex
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
GO:0045271	respiratory chain complex I
GO:0045273	respiratory chain complex II
GO:0045275	respiratory chain complex III
GO:0045277	respiratory chain complex IV
GO:0045281	succinate dehydrogenase complex
GO:0045283	fumarate reductase complex
GO:0045293	mRNA editing complex
GO:0045298	tubulin complex
GO:0045323	interleukin-1 receptor complex
GO:0045334	clathrin-coated endocytic vesicle
GO:0045335	phagocytic vesicle
GO:0045495	pole plasm
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0046581	intercellular canaliculus
GO:0046658	anchored component of plasma membrane
GO:0046691	intracellular canaliculus
GO:0046696	lipopolysaccharide receptor complex
GO:0046930	pore complex
GO:0048179	activin receptor complex
GO:0048188	Set1C/COMPASS complex
GO:0048237	rough endoplasmic reticulum lumen
GO:0048269	methionine adenosyltransferase complex
GO:0048471	perinuclear region of cytoplasm
GO:0048475	coated membrane
GO:0048476	Holliday junction resolvase complex
GO:0048500	signal recognition particle
GO:0048770	pigment granule
GO:0048786	presynaptic active zone
GO:0048788	cytoskeleton of presynaptic active zone
GO:0051233	spindle midzone
GO:0051286	cell tip
GO:0055029	nuclear DNA-directed RNA polymerase complex
GO:0055037	recycling endosome
GO:0055038	recycling endosome membrane
GO:0055087	Ski complex
GO:0060053	neurofilament cytoskeleton
GO:0060076	excitatory synapse
GO:0060077	inhibitory synapse
GO:0060091	kinocilium
GO:0060170	ciliary membrane
GO:0060171	stereocilium membrane
GO:0060187	cell pole
GO:0060198	clathrin-sculpted vesicle
GO:0060199	clathrin-sculpted glutamate transport vesicle
GO:0060200	clathrin-sculpted acetylcholine transport vesicle
GO:0060201	clathrin-sculpted acetylcholine transport vesicle membrane
GO:0060203	clathrin-sculpted glutamate transport vesicle membrane
GO:0060205	cytoplasmic membrane-bounded vesicle lumen
GO:0060293	germ plasm
GO:0060342	photoreceptor inner segment membrane
GO:0061200	clathrin-sculpted gamma-aminobutyric acid transport vesicle
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane
GO:0061574	ASAP complex
GO:0061617	MICOS complex
GO:0061673	mitotic spindle astral microtubule
GO:0061689	tricellular tight junction
GO:0061695	transferase complex, transferring phosphorus-containing groups
GO:0061700	GATOR2 complex
GO:0061702	inflammasome complex
GO:0070022	transforming growth factor beta receptor homodimeric complex
GO:0070032	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex
GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex
GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex
GO:0070069	cytochrome complex
GO:0070081	clathrin-sculpted monoamine transport vesicle
GO:0070083	clathrin-sculpted monoamine transport vesicle membrane
GO:0070110	ciliary neurotrophic factor receptor complex
GO:0070160	occluding junction
GO:0070161	anchoring junction
GO:0070187	telosome
GO:0070274	RES complex
GO:0070288	ferritin complex
GO:0070369	beta-catenin-TCF7L2 complex
GO:0070382	exocytic vesicle
GO:0070419	nonhomologous end joining complex
GO:0070435	Shc-EGFR complex
GO:0070436	Grb2-EGFR complex
GO:0070449	elongin complex
GO:0070461	SAGA-type complex
GO:0070469	respiratory chain
GO:0070522	ERCC4-ERCC1 complex
GO:0070531	BRCA1-A complex
GO:0070545	PeBoW complex
GO:0070552	BRISC complex
GO:0070554	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex
GO:0070557	PCNA-p21 complex
GO:0070578	RISC-loading complex
GO:0070603	SWI/SNF superfamily-type complex
GO:0070652	HAUS complex
GO:0070688	MLL5-L complex
GO:0070695	FHF complex
GO:0070724	BMP receptor complex
GO:0070743	interleukin-23 complex
GO:0070761	pre-snoRNP complex
GO:0070765	gamma-secretase complex
GO:0070775	H3 histone acetyltransferase complex
GO:0070776	MOZ/MORF histone acetyltransferase complex
GO:0070820	tertiary granule
GO:0070821	tertiary granule membrane
GO:0070822	Sin3-type complex
GO:0070847	core mediator complex
GO:0070852	cell body fiber
GO:0070876	SOSS complex
GO:0070877	microprocessor complex
GO:0070937	CRD-mediated mRNA stability complex
GO:0070938	contractile ring
GO:0070939	Dsl1p complex
GO:0070971	endoplasmic reticulum exit site
GO:0070993	translation preinitiation complex
GO:0071001	U4/U6 snRNP
GO:0071004	U2-type prespliceosome
GO:0071006	U2-type catalytic step 1 spliceosome
GO:0071008	U2-type post-mRNA release spliceosomal complex
GO:0071010	prespliceosome
GO:0071011	precatalytic spliceosome
GO:0071012	catalytic step 1 spliceosome
GO:0071013	catalytic step 2 spliceosome
GO:0071014	post-mRNA release spliceosomal complex
GO:0071020	post-spliceosomal complex
GO:0071062	alphav-beta3 integrin-vitronectin complex
GO:0071065	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex
GO:0071141	SMAD protein complex
GO:0071144	SMAD2-SMAD3 protein complex
GO:0071159	NF-kappaB complex
GO:0071203	WASH complex
GO:0071204	histone pre-mRNA 3'end processing complex
GO:0071256	translocon complex
GO:0071339	MLL1 complex
GO:0071437	invadopodium
GO:0071438	invadopodium membrane
GO:0071439	clathrin complex
GO:0071458	integral component of cytoplasmic side of endoplasmic reticulum membrane
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m
GO:0071546	pi-body
GO:0071547	piP-body
GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane
GO:0071564	npBAF complex
GO:0071565	nBAF complex
GO:0071595	Nem1-Spo7 phosphatase complex
GO:0071598	neuronal ribonucleoprotein granule
GO:0071664	catenin-TCF7L2 complex
GO:0071682	endocytic vesicle lumen
GO:0071782	endoplasmic reticulum tubular network
GO:0071797	LUBAC complex
GO:0071817	MMXD complex
GO:0071818	BAT3 complex
GO:0071819	DUBm complex
GO:0071821	FANCM-MHF complex
GO:0071920	cleavage body
GO:0071942	XPC complex
GO:0071953	elastic fiber
GO:0071986	Ragulator complex
GO:0072357	PTW/PP1 phosphatase complex
GO:0072372	primary cilium
GO:0072379	ER membrane insertion complex
GO:0072487	MSL complex
GO:0072534	perineuronal net
GO:0072536	interleukin-23 receptor complex
GO:0072546	ER membrane protein complex
GO:0072557	IPAF inflammasome complex
GO:0072558	NLRP1 inflammasome complex
GO:0072559	NLRP3 inflammasome complex
GO:0072562	blood microparticle
GO:0072563	endothelial microparticle
GO:0072588	box H/ACA RNP complex
GO:0072589	box H/ACA scaRNP complex
GO:0072669	tRNA-splicing ligase complex
GO:0072686	mitotic spindle
GO:0072687	meiotic spindle
GO:0080008	Cul4-RING E3 ubiquitin ligase complex
GO:0089701	U2AF
GO:0090498	extrinsic component of Golgi membrane
GO:0090533	cation-transporting ATPase complex
GO:0090534	calcium ion-transporting ATPase complex
GO:0090537	CERF complex
GO:0090543	Flemming body
GO:0090544	BAF-type complex
GO:0090545	CHD-type complex
GO:0090568	nuclear transcriptional repressor complex
GO:0090571	RNA polymerase II transcription repressor complex
GO:0090575	RNA polymerase II transcription factor complex
GO:0090576	RNA polymerase III transcription factor complex
GO:0090661	box H/ACA telomerase RNP complex
GO:0090665	glycoprotein complex
GO:0097014	ciliary plasm
GO:0097025	MPP7-DLG1-LIN7 complex
GO:0097038	perinuclear endoplasmic reticulum
GO:0097057	TRAF2-GSTP1 complex
GO:0097058	CRLF-CLCF1 complex
GO:0097059	CNTFR-CLCF1 complex
GO:0097060	synaptic membrane
GO:0097136	Bcl-2 family protein complex
GO:0097149	centralspindlin complex
GO:0097165	nuclear stress granule
GO:0097169	AIM2 inflammasome complex
GO:0097196	Shu complex
GO:0097197	tetraspanin-enriched microdomain
GO:0097208	alveolar lamellar body
GO:0097209	epidermal lamellar body
GO:0097224	sperm connecting piece
GO:0097225	sperm midpiece
GO:0097227	sperm annulus
GO:0097228	sperm principal piece
GO:0097232	lamellar body membrane
GO:0097233	alveolar lamellar body membrane
GO:0097342	ripoptosome
GO:0097346	INO80-type complex
GO:0097361	CIA complex
GO:0097362	MCM8-MCM9 complex
GO:0097381	photoreceptor disc membrane
GO:0097386	glial cell projection
GO:0097413	Lewy body
GO:0097418	neurofibrillary tangle
GO:0097422	tubular endosome
GO:0097427	microtubule bundle
GO:0097431	mitotic spindle pole
GO:0097433	dense body
GO:0097440	apical dendrite
GO:0097441	basilar dendrite
GO:0097442	CA3 pyramidal cell dendrite
GO:0097443	sorting endosome
GO:0097449	astrocyte projection
GO:0097450	astrocyte end-foot
GO:0097451	glial limiting end-foot
GO:0097452	GAIT complex
GO:0097454	Schwann cell microvillus
GO:0097470	ribbon synapse
GO:0097481	neuronal postsynaptic density
GO:0097486	multivesicular body lumen
GO:0097487	multivesicular body, internal vesicle
GO:0097504	Gemini of coiled bodies
GO:0097513	myosin II filament
GO:0097517	contractile actin filament bundle
GO:0097525	spliceosomal snRNP complex
GO:0097526	spliceosomal tri-snRNP complex
GO:0097539	ciliary transition fiber
GO:0097541	axonemal basal plate
GO:0097542	ciliary tip
GO:0097543	ciliary inversin compartment
GO:0097546	ciliary base
GO:0097598	sperm cytoplasmic droplet
GO:0097610	cell surface furrow
GO:0097629	extrinsic component of omegasome membrane
GO:0097632	extrinsic component of pre-autophagosomal structure membrane
GO:0097635	extrinsic component of autophagosome membrane
GO:0097648	G-protein coupled receptor complex
GO:0097651	phosphatidylinositol 3-kinase complex, class I
GO:0098533	ATPase dependent transmembrane transport complex
GO:0098536	deuterosome
GO:0098552	side of membrane
GO:0098553	lumenal side of endoplasmic reticulum membrane
GO:0098554	cytoplasmic side of endoplasmic reticulum membrane
GO:0098559	cytoplasmic side of early endosome membrane
GO:0098562	cytoplasmic side of membrane
GO:0098573	intrinsic component of mitochondrial membrane
GO:0098574	cytoplasmic side of lysosomal membrane
GO:0098575	lumenal side of lysosomal membrane
GO:0098576	lumenal side of membrane
GO:0098590	plasma membrane region
GO:0098592	cytoplasmic side of apical plasma membrane
GO:0098636	protein complex involved in cell adhesion
GO:0098642	network-forming collagen trimer
GO:0098643	banded collagen fibril
GO:0098644	complex of collagen trimers
GO:0098645	collagen network
GO:0098647	collagen beaded filament
GO:0098651	basement membrane collagen trimer
GO:0098687	chromosomal region
GO:0098791	Golgi subcompartment
GO:0098793	presynapse
GO:0098794	postsynapse
GO:0098796	membrane protein complex
GO:0098797	plasma membrane protein complex
GO:0098798	mitochondrial protein complex
GO:0098799	outer mitochondrial membrane protein complex
GO:0098800	inner mitochondrial membrane protein complex
GO:0098802	plasma membrane receptor complex
GO:0098803	respiratory chain complex
GO:0098827	endoplasmic reticulum subcompartment
GO:0098831	presynaptic active zone cytoplasmic component
GO:0098852	lytic vacuole membrane
GO:0098857	membrane microdomain
GO:0098858	actin-based cell projection
GO:0098862	cluster of actin-based cell projections
GO:0099501	exocytic vesicle membrane
GO:0099503	secretory vesicle
GO:0099512	supramolecular fiber
GO:0099513	polymeric cytoskeletal fiber
GO:0099568	cytoplasmic region
GO:0099569	presynaptic cytoskeleton
GO:0099572	postsynaptic specialization
GO:0099738	cell cortex region
GO:1902493	acetyltransferase complex
GO:1902495	transmembrane transporter complex
GO:1902554	serine/threonine protein kinase complex
GO:1902555	endoribonuclease complex
GO:1902560	GMP reductase complex
GO:1902562	H4 histone acetyltransferase complex
GO:1902710	GABA receptor complex
GO:1902711	GABA-A receptor complex
GO:1902911	protein kinase complex
GO:1902937	inward rectifier potassium channel complex
GO:1903095	ribonuclease III complex
GO:1903293	phosphatase complex
GO:1903349	omegasome membrane
GO:1903767	sweet taste receptor complex
GO:1903768	taste receptor complex
GO:1904949	ATPase complex
GO:1990005	granular vesicle
GO:1990023	mitotic spindle midzone
GO:1990037	Lewy body core
GO:1990075	periciliary membrane compartment
GO:1990077	primosome complex
GO:1990111	spermatoproteasome complex
GO:1990124	messenger ribonucleoprotein complex
GO:1990130	Iml1 complex
GO:1990131	Gtr1-Gtr2 GTPase complex
GO:1990204	oxidoreductase complex
GO:1990234	transferase complex
GO:1990246	uniplex complex
GO:1990316	ATG1/ULK1 kinase complex
GO:1990351	transporter complex
GO:1990357	terminal web
GO:1990391	DNA repair complex
GO:1990393	3M complex
GO:1990423	RZZ complex
GO:1990452	Parkin-FBXW7-Cul1 ubiquitin ligase complex
GO:1990454	L-type voltage-gated calcium channel complex
GO:1990462	omegasome
GO:1990589	ATF4-CREB1 transcription factor complex
GO:1990590	ATF1-ATF4 transcription factor complex
GO:1990597	AIP1-IRE1 complex
GO:1990604	IRE1-TRAF2-ASK1 complex
GO:1990617	CHOP-ATF4 complex
GO:1990622	CHOP-ATF3 complex
GO:1990630	IRE1-RACK1-PP2A complex
GO:1990635	proximal dendrite
GO:1990666	PCSK9-LDLR complex
GO:1990667	PCSK9-AnxA2 complex
GO:1990682	CSF1-CSF1R complex
GO:1990696	USH2 complex
GO:1990712	HFE-transferrin receptor complex
GO:1990716	axonemal central apparatus
GO:1990723	cytoplasmic periphery of the nuclear pore complex
GO:1990726	Lsm1-7-Pat1 complex
GO:1990730	VCP-NSFL1C complex
GO:1990745	EARP complex
GO:1990752	microtubule end
GO:1990761	growth cone lamellipodium
GO:1990777	lipoprotein particle
GO:1990812	growth cone filopodium
GO:1990851	Wnt-Frizzled-LRP5/6 complex
GO:1990879	CST complex
GO:1990904	ribonucleoprotein complex
GO:1990907	beta-catenin-TCF complex
GO:1990909	Wnt signalosome
GO:1990923	PET complex
